Company Name,Category,Sub-Category,Hall,LinkedIn URL
Benchmark ESG Pvt Limited India,Startup,,1,https://www.linkedin.com/company/benchmark-esg-pvt-limited/
BharatGen TIH foundation for IoT & IoE,Research,,2,https://www.linkedin.com/company/bharatgen-tih-foundation-for-iot--ioe/
CSR BOX,Corporate,Domestic,8,https://www.linkedin.com/company/csr-box/
Exotel,Corporate,Domestic,8,https://www.linkedin.com/company/exotel/
Neo4j,Corporate,International,8,https://www.linkedin.com/company/neo4j/
Airtel,Corporate,Domestic,2,https://www.linkedin.com/company/bharti-airtel/
Netweb Technologies India Ltd,Corporate,International,3,https://www.linkedin.com/company/netweb-technologies-india-ltd/
Larsen & Toubro Vyoma,Corporate,Domestic,8,https://www.linkedin.com/company/larsen--toubro-vyoma/
Intel,Corporate,International,8,https://www.linkedin.com/company/intel/
Red Hat India Pvt Ltd,Corporate,International,8,https://www.linkedin.com/company/red-hat-india/
Adobe,Corporate,International,8,https://www.linkedin.com/company/adobe/
AMD,Corporate,International,8,https://www.linkedin.com/company/amd/
Deloitte Touche Tohmatsu India LLP,Corporate,International,8,https://www.linkedin.com/company/deloitte-touche-tohmatsu-india-llp-dttillp/
Neutrinos,Corporate,Domestic,8,https://www.linkedin.com/company/neutrinos/
AISECT,Corporate,Domestic,8,https://www.linkedin.com/company/aisect/
Apolitical Group Limited,Corporate,International,8,https://www.linkedin.com/company/apolitical-group-limited/
CBS INFORMATION SYSYEMS INC,Corporate,Domestic,8,https://www.linkedin.com/company/cbs-information-sysyems/
Asus,Corporate,International,8,https://www.linkedin.com/company/asus/
Atman Cloud Consultants Pvt Lmt,Corporate,Domestic,8,https://www.linkedin.com/company/atman-cloud-consultants-pvt-lmt/
AVPN Asia,Corporate,International,8,https://www.linkedin.com/company/avpn-asia/
AI Ready School,Corporate,Domestic,8,https://www.linkedin.com/company/ai-ready-school/
BITS Pilani Hyderabad,Academia,,8,https://www.linkedin.com/company/bits-pilani-hyderabad/
Cybersecurity NexT Pvt Ltd,Corporate,Domestic,8,https://www.linkedin.com/company/cybersecurity-next/
Government of Bihar Department of IT,Government,,8,https://www.linkedin.com/company/government-of-bihar-department-of-information-technology/
Chemours,Corporate,International,9,https://www.linkedin.com/company/chemours/
Siemens Technology & Services Pvt Ltd,Corporate,Domestic,9,https://www.linkedin.com/company/siemens-technology--services/
