Company Name,LinkedIn Profile URL
Benchmark ESG Pvt Limited India,https://www.linkedin.com/company/benchmark-gensuite/
BharatGen TIH foundation for IoT & IoE,https://www.linkedin.com/company/bharatgen/
CSR BOX,https://www.linkedin.com/company/csr-box/
Exotel,https://www.linkedin.com/company/exotel/
Neo4j,https://www.linkedin.com/company/neo4j/
Airtel,https://www.linkedin.com/company/airtel/
Netweb Technologies India Ltd.,https://www.linkedin.com/company/netweb-technologies/
Larsen & Toubro Vyoma,https://www.linkedin.com/company/larsen-&-toubro/
Intel,https://www.linkedin.com/company/intel/
Red Hat India Pvt. Ltd.,https://www.linkedin.com/company/red-hat/
Adobe,https://www.linkedin.com/company/adobe/
AMD,https://www.linkedin.com/company/amd/
Deloitte Touche Tohmatsu India LLP (DTTILLP),https://www.linkedin.com/company/deloitte/
Neutrinos,https://www.linkedin.com/company/neutrinos/
AISECT,https://www.linkedin.com/company/aisect/
Apolitical Group Limited,https://www.linkedin.com/company/apolitical-group/
CBS INFORMATION SYSYEMS INC,https://www.linkedin.com/company/cbs-information-sysyems/
Asus,https://www.linkedin.com/company/asus/
Atman Cloud Consultants Pvt Lmt,https://www.linkedin.com/company/atman-cloud-consultants-pvt-lmt/
AVPN Asia,https://www.linkedin.com/company/avpn-asia/
AI Ready School,https://www.linkedin.com/company/ai-ready-school/
BITS Pilani Hyderabad,https://www.linkedin.com/school/bits-pilani/
Cybersecurity NexT Pvt. Ltd.,https://www.linkedin.com/company/cybersecurity-next/
Government of Bihar (Department of Information Technology),https://www.linkedin.com/company/government-of-bihar/
Chemours,https://www.linkedin.com/company/chemours/
Siemens Technology & Services Pvt. Ltd.,https://www.linkedin.com/company/siemens/
Cisco Commerce Cisco Systems,https://www.linkedin.com/company/cisco/
Corning Technologies India Pvt. Ltd.,https://www.linkedin.com/company/corning/
DevRev.ai,https://www.linkedin.com/company/devrevai/
WIPLON - Webspiders Interweb Pvt. Ltd.,https://www.linkedin.com/company/wiplon-webspiders-interweb/
EDU VANTAGE Pvt. Ltd.,https://www.linkedin.com/company/edu-vantage/
Embassy of Switzerland,https://www.linkedin.com/company/embassy-of-switzerland/
Italian Trade Agency,https://www.linkedin.com/company/italian-trade-agency/
ESET,https://www.linkedin.com/company/eset/
Eka Care,https://www.linkedin.com/company/eka-care/
Hanunnotech (Hanumayamma Innovations and Technologies Pvt. Ltd.),https://www.linkedin.com/company/hanunnotech/
HCLSoftware,https://www.linkedin.com/company/hclsoftware/
Cygnet Infotech Pvt. Ltd.,https://www.linkedin.com/company/cygnet-infotech/
Netsutra,https://www.linkedin.com/company/netsutra/
Cyfuture India Pvt. Ltd.,https://www.linkedin.com/company/cyfuture/
Lexlegis.ai,https://www.linkedin.com/company/lexlegisai/
Sol9X Pvt. Ltd.,https://www.linkedin.com/company/sol9x/
Constl (Spaceworld),https://www.linkedin.com/company/constl/
Dr. A.P.J Abdul Kalam Technical University Lucknow,https://www.linkedin.com/company/dr-apj-abdul-kalam-technical-university-lucknow/
Railtel Corporation 0f India Limited,https://www.linkedin.com/company/railtel-corporation-0f/
SIFY,https://www.linkedin.com/company/sify/
DDN,https://www.linkedin.com/company/ddn/
Neysa Networks Pvt. Ltd.,https://www.linkedin.com/company/ernstandyoung/
Nugen Intelligence,https://www.linkedin.com/company/intel/
Rooman Technologies Pvt. Ltd.,https://www.linkedin.com/company/rooman-technologies/
Population Council Institute,https://www.linkedin.com/company/population-council-institute/
iStreet Network Ltd,https://www.linkedin.com/company/istreet-network/
Tata Consultancy Services Limited (Tata AI Innovation Pavilion),https://www.linkedin.com/company/tata-consultancy-services/
Tata Group,https://www.linkedin.com/company/tata-group/
Google India,https://www.linkedin.com/company/google/
Jio Intelligence,https://www.linkedin.com/company/intel/
Yotta Data Services,https://www.linkedin.com/company/yotta-data-services/
Rootle Voconv Private Limited,https://www.linkedin.com/company/rootle-voconv/
Supermicro Computer Inc. Taiwan,https://www.linkedin.com/company/supermicro/
Hindustan Institute of Technology and Science,https://www.linkedin.com/company/hindustan-institute-of-technology-and-science/
Government of Odisha (Odisha Computer Applications Centre),https://www.linkedin.com/company/government-of-odisha/
SST India,https://www.linkedin.com/company/sst/
2B Innovations Technology Services Pvt. Ltd.,https://www.linkedin.com/company/2b-innovations-technology-services/
Pienomial Technologies Pvt. Ltd.,https://www.linkedin.com/company/pienomial-technologies/
CloudPe,https://www.linkedin.com/company/cloudpe/
WEKA,https://www.linkedin.com/company/weka/
Rapifuzz Pvt. Ltd.,https://www.linkedin.com/company/rapifuzz/
Virtual Height IT Services Pvt. Ltd.,https://www.linkedin.com/company/virtual-height-it-services/
Meta,https://www.linkedin.com/company/meta/
Fore Solutions Pvt. Ltd.,https://www.linkedin.com/company/fore-solutions/
Fortinet,https://www.linkedin.com/company/fortinet/
Codespire Solutions India Pvt. Ltd.,https://www.linkedin.com/company/codespire-solutions/
Rodic Consultants Pvt. Ltd.,https://www.linkedin.com/company/rodic-consultants/
Innefu Labs Limited,https://www.linkedin.com/company/innefu-labs/
IBM,https://www.linkedin.com/company/ibm/
Linkedin,https://www.linkedin.com/company/linkedin/
Ministry of Skill Development and Entrepreneurship,https://www.linkedin.com/company/ministry-of-skill-development-and-entrepreneurship/
Angelbot AI Pvt. Ltd.,https://www.linkedin.com/company/angelbot-ai/
Minaions Pvt. Ltd.,https://www.linkedin.com/company/minaions/
Kenpath technologies Pvt. Ltd.,https://www.linkedin.com/company/kenpath-technologies/
T4G Lab,https://www.linkedin.com/company/t4g-lab/
Gazelle Information Technologies,https://www.linkedin.com/company/gazelle-information-technologies/
Sambanova Systems India Pvt. Ltd.,https://www.linkedin.com/company/sambanova-systems/
Soket Labs Technology and Research Pvt. Ltd.,https://www.linkedin.com/company/soket-labs-technology-and-research/
Qualcomm India Pvt. Limited,https://www.linkedin.com/company/qualcomm/
Infosys,https://www.linkedin.com/company/infosys/
Vertiv,https://www.linkedin.com/company/vertiv/
Schneider Electric,https://www.linkedin.com/company/schneider-electric/
Cognizant Technology Solutions,https://www.linkedin.com/company/cognizant/
Intellect Design Arena,https://www.linkedin.com/company/intel/
ServiceNow Software Development India Pvt. Ltd.,https://www.linkedin.com/company/servicenow/
Wadhwani Foundation,https://www.linkedin.com/company/wadhwani-foundation/
Wadhwani AI,https://www.linkedin.com/company/wadhwani-ai/
Accenture,https://www.linkedin.com/company/accenture/
Accenture LearnVantage,https://www.linkedin.com/company/accenture/
Iconova Creative Outreach Network Pvt. Ltd.,https://www.linkedin.com/company/iconova-creative-outreach-network/
Arista Networks,https://www.linkedin.com/company/arista-networks-inc-/
Razorpay,https://www.linkedin.com/company/razorpay/
Plivo,https://www.linkedin.com/company/plivo/
Turiya Semiconductors Pvt. Ltd.,https://www.linkedin.com/company/turiya-semiconductors/
Population Council Institute,https://www.linkedin.com/company/population-council-institute/
iStreet Network Ltd,https://www.linkedin.com/company/istreet-network/
Tata Consultancy Services Limited (Tata AI Innovation Pavilion),https://www.linkedin.com/company/tata-consultancy-services/
Tata Group,https://www.linkedin.com/company/tata-group/
Google India,https://www.linkedin.com/company/google/
Jio Intelligence,https://www.linkedin.com/company/intel/
